,title,descriptionskills,skills,Code,intrest
0,Sales Manager,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","Information technology, Sales, teamliaise, LeadsRespond, sales, year, software engineering , Sales, to, software engineering eXe , sales, computer web",11-2022.00,Enterprising
1,Mangler,"Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.","ERP, information technology, cloud, IT, computer systems, sales LAN software , IT services, IT, database, portfolio management, sales , information technology",51-4023.00,Realistic
2,Front End Web Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","ERP, Vuejs, JavaScript, Git , SAS software , cloud SAP software, digital marketing, marketing, cloud Dig, digital marketing",15-1254.00,Conventional
4,System Engineer,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.","Cloud, cloud, IaaS, Microsoft Exchange Server , automate, Designing, computer systems, Designing, Microsoft Private, DNS, PaaS",15-1243.00,Investigative
6,Business Analyst,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.","ERP, IT, business analysis, Test, designing, databases, UX Lua , Data migration, testing, coding, marketing, data security, , sales, automate, UAT, UX Analyz , dashboards, test, data systems, IT ",13-1111.00,Investigative
8,Front End Web Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","unit test ,  reviews , testing , DevOps, React, designing, ",15-1254.00,Conventional
10,Tax Specialist,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.","ERP, SecurityProvide, DNS, VPN, Windows Server, Marketing, data, data storage, computer software, computer software , Routers, computer science, test, network administration, SecurityProvide, computer systems, IT systems, IT, computer science eQuest , Windows",13-2011.00,Conventional
11,SAP Business Analyst,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.","data mapping, UX , statistics, UX, testing, business analysis Analyz",15-1211.00,Investigative
15,Java Developer,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.","Analyze, JDBI, Databases, banking, Analyz , designing, ExperienceHands, TestingConducts Spring Boot, Spark, Kafka, JUnit, Oracle SQL, Angular, APIs, testing, coding, debugging, software engineers,,A, Docker, Java, Spring Cloud, , database, BPM, designing, MicroServices, analyze data, UXUse, Programming languages, ABC programming language, DeltSpike Data, Apache, TestingConducts A programming language APL, REST API, REST, unit testing, software development, , JavaScript,  reviews, debug, test, Database , unit test, RabbitMQ, Scalable , Kubernetes, Dockers",15-1251.00,Investigative
16,Front End Developer,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.","DevOps, designing,   yet,  analysis, MS, CSS, HTML, Angular,  reviews , testing, coding, debugging, TypeScript, Designing, , version tools Currently, React, React JS, Cloud, JavaScript , Computer Science, ,,Determining, Designing, JSX , UX, risk analysis, AngularWrite",15-1254.00,Conventional
